,standard_regression_coefficients
CRIM,-0.05562081510090834
ZN,0.012843926128574904
INDUS,-0.05593339709754599
CHAS,0.07512470163889846
NOX,0.04530146828528938
RM,0.3111888671164762
AGE,0.023046858182399713
DIS,-0.09667776394502789
RAD,0.026119545051059935
TAX,-0.008034795917991559
PTRATIO,-0.2169098838926131
B,0.07508581309018596
LSTAT,-0.4892071633425222
